City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hermanus,-34.4187,19.2345,17.11,76,98,6.95,ZA,1728578038
84,mombetsu,44.3525,143.3525,7.83,78,100,2.99,JP,1728578039
85,mount isa,-20.7333,139.5,21.87,10,0,4.63,AU,1728578041
86,susuman,62.7833,148.1667,-14.92,95,49,1.04,RU,1728578042
87,invercargill,-46.4,168.35,5.57,91,32,0.45,NZ,1728578043
88,puerto ayora,-0.7393,-90.3518,21.97,90,82,4.02,EC,1728578044
89,waitangi,-43.9535,-176.5597,6.01,86,73,5.41,NZ,1728578045
90,olonkinbyen,70.9221,-8.7187,-2.93,85,100,17.28,SJ,1728578046
91,nyurba,63.2842,118.3319,-5.14,98,99,0.98,RU,1728578047
92,lihue,21.9789,-159.3672,25.77,73,20,6.69,US,1728578051
93,carolina beach,34.0352,-77.8936,20.61,65,100,11.78,US,1728578052
94,port alfred,-33.5906,26.891,17.88,91,70,2.68,ZA,1728578053
95,avarua,-21.2078,-159.775,22.03,78,75,6.17,CK,1728578054
96,ola,59.5833,151.2833,-2.69,69,22,2.1,RU,1728577993
97,gurmatkal,16.8667,77.4,23.54,86,100,3.47,IN,1728578056
98,isafjordur,66.0755,-23.124,2.02,80,100,6.17,IS,1728578057
99,hoemul-li,41.4339,129.67,11.86,81,0,2.1,KP,1728578058
100,enewetak,11.3474,162.3373,28.4,77,96,4.01,MH,1728578059
101,port mathurin,-19.6833,63.4167,22.54,83,99,10.64,MU,1728578061
102,uglich,57.5275,38.3317,6.51,85,100,4.87,RU,1728577995
103,oskaloosa,41.2964,-92.6444,22.99,35,0,1.54,US,1728578064
104,brookings,44.3114,-96.7984,23.58,59,4,5.42,US,1728577613
105,copiapo,-27.3667,-70.3333,21.19,35,0,5.47,CL,1728577918
106,blackpool,53.8167,-3.05,10.57,57,20,4.63,GB,1728578067
107,kavaratti,10.5669,72.642,26.14,89,100,6.93,IN,1728578068
108,tidjikja,18.5564,-11.4271,37.84,20,77,5.94,MR,1728578071
109,soto la marina,23.7667,-98.2167,31.2,39,7,2.7,MX,1728578072
110,polyarnyy,69.1989,33.4478,3.36,76,100,10.07,RU,1728578073
111,undurkhaan,47.3194,110.6556,2.68,57,35,1.15,MN,1728578074
112,valparaiso,-33.0393,-71.6273,14.13,100,100,4.12,CL,1728578007
113,cedral,23.8,-100.7333,21.46,24,6,2.75,MX,1728578076
114,lazaro cardenas,17.9583,-102.2,27.97,76,100,0.88,MX,1728578077
115,georgetown,5.4112,100.3354,26.96,93,40,1.03,MY,1728577983
116,poronaysk,49.2167,143.1167,9.79,65,100,6.37,RU,1728578079
117,cidreira,-30.1811,-50.2056,17.89,88,100,10.61,BR,1728578080
118,nemuro,43.3236,145.575,12.41,69,100,10.95,JP,1728578082
119,san julian,21.0167,-102.1667,19.66,34,14,3.54,MX,1728578083
120,puerto aysen,-45.4,-72.7,10.31,74,100,2.43,CL,1728578084
121,adrar,20.5022,-10.0711,38.31,17,5,4.59,MR,1728578085
122,kawalu,-7.3817,108.2082,23.02,98,88,0.73,ID,1728578086
123,loango,-4.6719,11.8312,24.98,83,85,4.91,CG,1728578087
124,badger,64.8,-147.5333,-0.86,93,100,0.0,US,1728578088
125,anadyr,64.75,177.4833,1.28,80,75,9.0,RU,1728578089
126,suva,-18.1416,178.4415,22.71,100,75,1.03,FJ,1728577963
127,mundargi,15.2167,75.9,24.18,84,94,2.99,IN,1728578092
128,huarmey,-10.0681,-78.1522,20.47,77,72,4.74,PE,1728577833
129,awjilah,29.1081,21.2869,30.75,22,0,0.99,LY,1728578094
130,isla vista,34.4133,-119.861,17.94,82,100,2.57,US,1728577971
131,garissa,-0.4536,39.6401,29.15,48,74,11.94,KE,1728578096
132,soio,-6.1349,12.3689,24.84,79,53,4.12,AO,1728578097
133,haiku-pauwela,20.9219,-156.3051,25.67,87,0,4.47,US,1728578098
134,salekhard,66.53,66.6019,-5.94,80,10,2.08,RU,1728578099
135,gamba,-2.65,10.0,25.17,84,77,2.86,GA,1728578100
136,geraldton,-28.7667,114.6,18.23,77,5,5.14,AU,1728578102
137,dryden,49.7833,-92.7503,12.16,62,20,4.63,CA,1728578103
138,northam,51.0333,-4.2167,10.9,79,46,5.34,GB,1728577918
139,queenstown,-31.8976,26.8753,25.88,17,84,3.3,ZA,1728578105
140,ugoofaaru,5.6667,73.0,27.3,81,100,10.44,MV,1728578106
141,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,69,0,2.0,RU,1728578107
142,lensk,60.7253,114.9278,-0.91,95,100,2.27,RU,1728578108
143,paulden,34.8856,-112.4682,26.56,15,0,0.61,US,1728578109
144,remire-montjoly,4.9167,-52.2667,33.02,58,75,6.69,GF,1728578110
145,lompoc,34.6391,-120.4579,14.23,100,100,0.0,US,1728577858
146,midvagur,62.0511,-7.1939,2.46,87,100,3.6,FO,1728578112
147,tafuna,-14.3358,-170.72,26.97,89,75,6.17,AS,1728578114
148,kingston,17.997,-76.7936,32.87,74,20,4.12,JM,1728578086
149,labrador city,52.9463,-66.9114,2.95,90,100,4.12,CA,1728578116
150,vilyuchinsk,52.9306,158.4028,-0.85,70,0,3.34,RU,1728578118
151,kazanskoye,55.6448,69.235,-1.66,95,100,8.26,RU,1728578119
152,bubaque,11.2833,-15.8333,26.03,82,100,8.39,GW,1728578120
153,karachev,53.1229,34.9852,10.92,74,35,3.88,RU,1728578121
154,dudinka,69.4058,86.1778,-6.37,92,87,6.1,RU,1728578122
155,gisborne,-38.6533,178.0042,11.35,77,99,2.4,NZ,1728578123
156,isangel,-19.55,169.2667,22.23,81,99,3.52,VU,1728578125
157,port blair,11.6667,92.75,28.02,78,20,1.03,IN,1728578126
158,mersing,2.4312,103.8405,24.95,100,20,2.57,MY,1728578127
159,galle,6.0367,80.217,27.18,81,92,0.89,LK,1728578128
160,bandar abbas,27.1865,56.2808,28.99,45,40,5.14,IR,1728578129
161,ghat,24.9647,10.1728,34.91,14,5,5.54,LY,1728578130
162,coquitlam,49.283,-122.7526,10.4,80,39,1.03,CA,1728578131
163,sao vicente,-23.9631,-46.3919,22.98,35,100,2.24,BR,1728577897
164,amalapuram,16.5833,82.0167,24.07,98,99,1.33,IN,1728578133
165,ubari,26.5921,12.7805,34.83,15,1,3.87,LY,1728578134
166,necochea,-38.5473,-58.7368,20.89,47,94,2.46,AR,1728578129
167,vallegrande,-18.4897,-64.1069,22.86,50,90,6.63,BO,1728578137
168,bago,17.3367,96.4797,26.24,82,8,0.43,MM,1728578138
169,talnakh,69.4865,88.3972,-8.38,93,95,4.96,RU,1728578139
170,belmonte,-15.8631,-38.8828,28.09,63,81,3.96,BR,1728578140
171,peterborough,52.5736,-0.2478,10.49,62,75,3.09,GB,1728577759
172,college,64.8569,-147.8028,-0.86,93,100,0.0,US,1728578142
173,shetpe,44.1667,52.1167,12.5,76,14,3.67,KZ,1728578143
174,deqen,29.9618,90.7188,5.65,75,9,1.83,CN,1728578144
175,murashi,59.3999,48.9615,-0.27,64,100,3.69,RU,1728578145
176,tiksi,71.6872,128.8694,-7.87,94,98,2.15,RU,1728578147
177,peace river,56.2501,-117.286,5.17,75,0,5.66,CA,1728578142
178,koulikoro,14.0,-7.75,34.08,40,81,2.78,ML,1728578149
179,villa rica,33.7321,-84.9191,23.13,57,0,0.45,US,1728577877
180,pangody,65.85,74.4859,-2.27,74,77,6.91,RU,1728578151
181,port elizabeth,-33.918,25.5701,17.16,94,75,10.8,ZA,1728578152
182,wailua homesteads,22.0669,-159.378,25.44,94,20,6.69,US,1728578153
183,tutoia,-2.7619,-42.2744,28.58,65,25,6.01,BR,1728578128
184,greenville,35.6127,-77.3663,18.4,63,0,7.2,US,1728577736
185,jayapura,-2.5333,140.7,24.66,93,60,1.91,ID,1728578156
186,rio grande,-32.035,-52.0986,17.18,87,100,10.51,BR,1728578157
187,la passe,45.5549,-0.8967,15.47,80,4,4.07,FR,1728578159
188,colares,38.7992,-9.4469,21.65,69,20,4.12,PT,1728578160
189,saint-mandrier-sur-mer,43.078,5.929,21.92,48,0,8.23,FR,1728578161
190,harsin,34.2721,47.5861,19.09,18,0,2.31,IR,1728578162
191,katsuren-haebaru,26.3369,127.8719,21.21,83,0,1.54,JP,1728578163
